HGNC ID	Approved symbol	Approved name	Status	NCBI Gene ID
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved	65985
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	729522
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	Symbol Withdrawn	
HGNC:17	AADAC	arylacetamide deacetylase	Approved	13
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved	344752
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved	101928142
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved	126767
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved	343066
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved	201651
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved	51166
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved	79719
HGNC:19679	AAK1	AP2 associated kinase 1	Approved	22848
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	28971
HGNC:18	AAMP	angio associated migratory cell protein	Approved	14
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved	15
HGNC:15886	AAR2	AAR2 splicing factor	Approved	25980
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	441376
HGNC:20	AARS1	alanyl-tRNA synthetase 1	Approved	16
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	Approved	106480683
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	57505
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved	80755
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1	Approved	
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved	132949
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved	60496
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved	10157
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved	284837
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved	26574
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved	9625
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved	17
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved	103021294
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved	18
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	Symbol Withdrawn	
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	Symbol Withdrawn	
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	Symbol Withdrawn	
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	Symbol Withdrawn	
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	Symbol Withdrawn	
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	19
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	20
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	21
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	Approved	342293
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	24
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved	23461
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved	23460
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved	10347
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved	10351
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved	10350
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved	
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved	10349
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	79963
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	26154
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved	154664
HGNC:34405	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	Approved	400508
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved	650655
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	5243
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	Symbol Withdrawn	
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	Symbol Withdrawn	
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	5244
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved	340273
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved	10058
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	22
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved	11194
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved	23457
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved	23456
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	Approved	56476
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	Symbol Withdrawn	
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	Approved	728248
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	Approved	100132289
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	8647
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	4363
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	1244
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved	8714
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved	10257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved	10057
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved	
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	368
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved	653190
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved	730013
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)	Symbol Withdrawn	
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	6833
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved	10060
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved	89845
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved	85320
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved	94160
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved	150000
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	215
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved	23785
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved	26983
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved	26982
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved	26957
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved	642762
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	225
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	5825
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	5826
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	6059
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	23
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	Approved	107986587
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved	10061
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	Approved	114483834
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved	344653
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved	100422059
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved	55324
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved	9619
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved	9429
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved	64137
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved	64240
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved	64241
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	Symbol Withdrawn	
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved	84696
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	Approved	11057
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	Approved	171586
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	Approved	63874
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	Approved	51099
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	Approved	57406
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved	79575
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	Approved	55347
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	83451
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2	Entry Withdrawn	
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	Approved	26090
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	145447
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	84945
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved	25864
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved	100526760
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved	84836
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved	116236
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	Approved	7920
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	140701
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	Approved	81926
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	Approved	728917
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	Symbol Withdrawn	
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	Approved	648359
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	Approved	729495
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	Approved	91219
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	Approved	644988
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	Approved	100133212
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	Approved	647144
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	Approved	100132251
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Approved	51104
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	Approved	58489
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	80167
HGNC:11320	ABI1	abl interactor 1	Approved	10006
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	Approved	326268
HGNC:24011	ABI2	abl interactor 2	Approved	10152
HGNC:29859	ABI3	ABI family member 3	Approved	51225
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved	25890
HGNC:1364	ABITRAM	actin binding transcription modulator	Approved	54942
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	Approved	390403
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	25
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	27
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	3983
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved	84448
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved	22885
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved	28
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	Approved	29
HGNC:55674	ABR-AS1	ABR antisense RNA 1	Approved	105371479
HGNC:30655	ABRA	actin binding Rho activating protein	Approved	137735
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	58527
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Approved	84142
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	Approved	23172
HGNC:17369	ABT1	activator of basal transcription 1	Approved	29777
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	Approved	100420695
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved	80325
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved	25841
HGNC:23844	ABTB3	ankyrin repeat and BTB domain containing 3	Approved	121551
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved	30
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved	10449
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1	Approved	100420869
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	31
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved	32
HGNC:86	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)	Entry Withdrawn	
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved	27034
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved	28976
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript	Approved	123706524
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved	80724
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved	84129
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	Approved	33
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	Approved	34
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	Approved	35
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved	36
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	Approved	37
HGNC:319	ACAN	aggrecan	Approved	176
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	9744
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	23527
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	Approved	
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	116983
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	38
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved	39
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	64746
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	Approved	107985353
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved	79777
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved	91452
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved	84320
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved	414149
HGNC:96	ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)	Symbol Withdrawn	
HGNC:97	ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)	Symbol Withdrawn	
HGNC:98	ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)	Symbol Withdrawn	
HGNC:14594	ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)	Symbol Withdrawn	
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved	84680
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved	390110
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	Approved	65057
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	1636
HGNC:13557	ACE2	angiotensin converting enzyme 2	Approved	59272
HGNC:56255	ACE2-DT	ACE2 divergent transcript	Approved	104798195
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	Approved	100129123
HGNC:18356	ACER1	alkaline ceramidase 1	Approved	125981
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	340485
HGNC:54674	ACER2P1	ACER2 pseudogene 1	Approved	645978
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	55331
HGNC:106	ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)	Symbol Withdrawn	
HGNC:107	ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)	Symbol Withdrawn	
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	Approved	43
HGNC:109	ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	Symbol Withdrawn	
HGNC:110	ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)	Symbol Withdrawn	
HGNC:111	ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	Symbol Withdrawn	
HGNC:112	ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)	Symbol Withdrawn	
HGNC:113	ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)	Symbol Withdrawn	
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	22985
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	2532
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	1238
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	57007
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	51554
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	Approved	285737
HGNC:114	ACLS	acrocallosal syndrome	Entry Withdrawn	
HGNC:115	ACLY	ATP citrate lyase	Approved	47
HGNC:116	ACMG	acromegaly	Entry Withdrawn	
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved	130013
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	Approved	347275
HGNC:117	ACO1	aconitase 1	Approved	48
HGNC:118	ACO2	aconitase 2	Approved	50
HGNC:33904	ACOD1	aconitate decarboxylase 1	Approved	730249
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved	641371
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Approved	10965
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	Approved	122970
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	Approved	641372
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	Approved	11332
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	Approved	10005
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Approved	23597
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	Approved	26027
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Approved	134526
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	Approved	55856
HGNC:119	ACOX1	acyl-CoA oxidase 1	Approved	51
HGNC:120	ACOX2	acyl-CoA oxidase 2	Approved	8309
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	Approved	8310
HGNC:25621	ACOXL	acyl-CoA oxidase like	Approved	55289
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	Approved	400997
HGNC:122	ACP1	acid phosphatase 1	Approved	52
HGNC:123	ACP2	acid phosphatase 2, lysosomal	Approved	53
HGNC:125	ACP3	acid phosphatase 3	Approved	55
HGNC:14376	ACP4	acid phosphatase 4	Approved	93650
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	Approved	54
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	Approved	51205
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	Approved	390928
HGNC:126	ACR	acrosin	Approved	49
HGNC:17195	ACRBP	acrosin binding protein	Approved	84519
HGNC:54745	ACRP1	ACR pseudogene 1	Approved	645529
HGNC:127	ACRV1	acrosomal vesicle protein 1	Approved	56
HGNC:128	ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)	Symbol Withdrawn	
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Approved	23205
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Approved	81616
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	Approved	80221
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	Approved	197322
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	Approved	2180
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	Approved	2181
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	Approved	105373904
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	Approved	2182
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	Approved	51703
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	Approved	23305
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	Approved	101927693
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	Approved	116285
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	Approved	123876
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	Approved	348158
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	Approved	6296
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	Approved	341392
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	Approved	54988
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	Approved	100421779
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	Approved	142827
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	Approved	84532
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	Approved	55902
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	Approved	79611
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	Approved	58
HGNC:130	ACTA2	actin alpha 2, smooth muscle	Approved	59
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	Approved	100132116
HGNC:131	ACTA3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	Symbol Withdrawn	
HGNC:132	ACTB	actin beta	Approved	60
HGNC:17780	ACTBL2	actin beta like 2	Approved	345651
HGNC:134	ACTBP1	ACTB pseudogene 1	Approved	643309
HGNC:135	ACTBP2	ACTB pseudogene 2	Approved	62
HGNC:136	ACTBP3	ACTB pseudogene 3	Approved	63
HGNC:137	ACTBP4	ACTB pseudogene 4	Approved	64
HGNC:138	ACTBP5	actin, beta pseudogene 5	Entry Withdrawn	
HGNC:139	ACTBP6	ACTB pseudogene 6	Approved	66
HGNC:140	ACTBP7	ACTB pseudogene 7	Approved	67
HGNC:141	ACTBP8	ACTB pseudogene 8	Approved	68
HGNC:142	ACTBP9	ACTB pseudogene 9	Approved	69
HGNC:31819	ACTBP10	ACTB pseudogene 10	Approved	446207
HGNC:33971	ACTBP11	ACTB pseudogene 11	Approved	644220
HGNC:150	ACTBP12	ACTB pseudogene 12	Approved	100462767
HGNC:45086	ACTBP14	ACTB pseudogene 14	Approved	389976
HGNC:55065	ACTBP15	ACTB pseudogene 15	Approved	391334
HGNC:143	ACTC1	actin alpha cardiac muscle 1	Approved	70
HGNC:51491	ACTE1P	actin epsilon 1, pseudogene	Approved	399923
HGNC:144	ACTG1	actin gamma 1	Approved	71
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	Approved	73
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	Approved	74
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	Approved	75
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4	Approved	648740
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6	Approved	78
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7	Approved	79
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8	Approved	80
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	Approved	82
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	Approved	83
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11	Approved	414754
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12	Approved	100418921
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13	Approved	100418920
